N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
AC000403.1	0	0.0227012626279222	0.0491010858239161	0.0123963891417882	0.0128719645232377	0.0401144194014336	0	0	0.0503026114370719	0	0.0126031313855307	0.0261429530244155	0.0303018350884659	0.0760231919909545	0	0.0134585404907635	0	0.0442025695603684	0.0236579418418744	0.0318476641787802	0.0770827782831309	0.0106234028771467	0.0936639658777848	0	0.0944875491458081	0.01241522132037	0	0	0	0.0321381682122359	0.0638553821776526	0.0583897671878351	0	0.0204872660713459	0	0	0.0243419701673454	0	0.059291994037132	0.0551257164018343
AC001226.1	0	0	0	0	0	0	0	0	0	0	0	0.115921442909746	0.067181248479994	0	0.0708225664881038	0	0	0	0	0.282433830750592	0	0	0	0.570955361721592	0	0	0	0	0	0	0.0849430594088625	0	0	0.0681325128625	0	0	0	0	0.0788726525503222	0.0733304984417722
AC002044.2	0	0.0419505291345882	0	0.412339686247214	0	0.111193448624335	1.074926175817	0	1.11547337320765	0.126448117508519	0.232898072253235	0	0.0373306112687802	0.0802778036193143	0.11806194846522	0.0497411006797805	0	0.0816836143680004	0	0	0.142444206260322	0	0	0.158631412354607	0	0	0.407167472645093	0.714311665568673	0.0965410583683566	0.079185795904375	0.0472003185787391	0.0863205424199541	0.122758259808027	0.0378592004462758	0.122470755542017	0	0	0.0960818450060176	0	0
AC002044.3	0	0	0.48806116269521	0	0	0.0664557271507114	0.867292561449391	0.307866587367746	0.0833340397420992	0.0755728120660895	0.0835161294216776	0	0	0	0.211682236619711	0	0	0	0	0	0	0	0	0	0	0	0.182510373597847	0.0853829101172659	0	0.212967343883301	0	0	0	0	0	0	0	0	0	0
AC002056.2	0	0	0	0.156482588286306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.1	0	0	0	0	0	0	0	0	0.123011502047683	0	0	0.0426205032253432	0	0	0.0520782583043492	0	0	0.10809427822232	0.173561503758089	0	0	0.103915141376728	0	0	0	0	0	0.12603589187842	0	0.104788843147672	0.0624615402747297	0	0.0541498463000393	0	0.0540230254096209	0	0.11905315559336	0	0	0.107844853097177
AC002064.2	0	0	0.609091324147886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263376876772611	0	0.39534497558378	0.331967689245535	0	0.669773334034052	0	0	0	0	0	0	0	0.549367990836385	0	0	0.203774562560646	0.301958349653748	0	0.294203181485285	0
AC002064.3	0.129503060274126	0	0	0	0	0	0	0.120343803299097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385912443065257	0	0	0	0	0.132324592547332	0	0	0	0.11444762319437	0	0	0	0.122868091689664	0
AC002066.1	0.0738797343031288	0	0.217676083279562	0	0.0380428629973679	0.029639363881727	0.257875941601605	0	0.0371671191265257	0.134822395145109	0.260738319966936	0.0257550114296592	0	0.353076737270438	0	0.477317734470441	0.113424497122393	0.261279821721221	0	0.0313750689972319	0.227816784950556	0.0627945578146263	0.197730136422011	0.084568546295119	0	0	0.0406999637742931	0.190404593460185	0	0.0316612621711639	0.0377446900423552	0	0.163610211615535	0.181649255232749	0.097936218364185	0.0970995030173566	0.0359711306883484	0.115250687950334	0.0350472874893847	0.0325846155483225
AC002070.1	0.0884660589434306	0	0.260652605151144	0.0877414710233186	0.0911075870006066	0	0.102929752274678	0.0411045961910046	0.0890102971381554	0.0807204172314994	0.0446023948836403	0.030839910033738	0.250221964970402	0.0768701574637067	0.150733912486033	0.190518727184154	0	0.234648882340455	0.125587939047068	0.150278217941332	0.136397709844533	0.0751922987454508	0.0947074651450736	0.101265199068094	0.143310335786654	0	0	0.547192351906506	0.184886133499123	0	0.0903935025101222	0.0826563930378632	0.0783649305783392	0	0.0390906985441778	0	0.0861460642151364	0.230008365389529	0.0419667914359562	0
AC002076.1	0	0	0	0	0	0	0	0	0	0	0	0	0.2748439691136	0	0	0	0	0	0	0	0	0	0	0.0973260404705687	0	0	0	0	0	0	0	0	0.376582896944296	0.139367834659915	0	0	0.248385094070019	0	0.0806686142782232	0
AC002090.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002091.1	0.0804453480338377	0.365278395516611	0.158013817485403	0	0.33138953548156	0.0645467655090393	0.467988505629484	0.523290290108462	0	0	0.0811171023646815	0.336525984174254	0.390061324208798	0.27960312212113	0	0.0866227426559912	0	0.497874094756484	0.0761343999130338	0.273306705160806	0.248062621315102	0.273500174610922	0.258362645041184	0.736672507403801	0	0.239722989767646	0.265901558661854	0.082930259198278	0.084061783318946	0	0.246594123993053	0.751624112633352	0	0	0.284372550271111	0.211457265996506	0	0	0	0.425764509803754
AC002091.2	0.445851331889031	0	0.21893954313276	0.221099776484134	0.114791026904993	0	0.129686366982897	0.20715898478352	0.224297092042168	0	0.224787194115063	0.0777135046372551	0	0.387410296073308	0.284875845799164	0	0	0.295645917675225	0.210979406724178	0.378686156155645	0	0.568431333053296	0.119326694268606	0.127589112756193	0	0.332153495772584	0	0.11490585665035	0.232947329893796	0.38214040809574	0	2.39528768829499	0.0987359137759423	0.730814416574876	0.0985046707095824	0.439483944627066	0.10853975503723	0	0	0
AC002094.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.2	0.0399715065609702	0	0	0	0.0411650248133874	0.0320718540486484	0.232533093341322	0.148577898096298	0.522826317133081	0.0364718031469709	0.161221145467003	0	0.0323021346393548	0.0347321451876605	0.0681059113953398	0.215204583672556	0.490932792183631	0	0.226976953175164	0.203700046531538	0	0	0.0427915531632291	0.0457545257163155	0	0.0794086858760504	0	0	0.0835368658495146	0	0.0408423809289713	0.149386130503756	0	0.196557133449889	0.317921408231284	1.05068418519227	0.0389232663023788	0.0415697545298113	0.113770811038243	0.10577646385401
AC002094.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0605054987180323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0936261503657024	0	0	0	0
AC002101.1	0	0	0	0	0	0.0361332144608391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.1	0	0	0	0	0	0	0	0	0	0	0	0	0.12750243989689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0737068011860523	0	0	0	0	0	0	0	0
AC002116.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.2	0.278743756484278	0.253138496177608	0.273759553155115	0	0	0.111827522203841	0.0810791905554036	0.0647573187270414	0.140229286160111	0.190753769802898	0.210803542848185	0.145758144000824	0	0.242206748089377	0.0593675946144447	0.0750371192214419	0	0	0	0.29594058082148	0	0.0592300144861133	0.0746023811757073	0.0797679989548829	0	0.207660505910698	0.153558494737846	0	0.145637366434379	0.0597280109076545	0.142408426194018	0.0651095848735268	0.555562264450014	0.114225270397784	0	0.0915876338725145	0.0678584471616899	0.144944618438316	0.0661156449838626	0.184409667154503
AC002127.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078072601390594	0	0	0	0	0	0	0	0	0	0	0	0.074744586364791	0	0	0	0	0	0	0	0.190585270485524	0	0	0.206370678274872	0
AC002306.1	0	0	0	0	0	0.0383698488671664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0423605521215889	0	0	0	0	0	0	0
AC002310.1	0.269780321512492	0.311816193567437	0.0963477792439732	0.389193695223302	0.0757733872180743	0.236141532929622	0.342423116762722	0.0455817799031063	0.518203626442249	0.268537874073921	0.148381694637529	0.222293801441869	0.673871680155649	0.0639322409776148	0.0208940138681379	0.158452767354309	0.451835517272455	0.260207244456356	0.278534389172807	0.562432887098162	0	0.145919154461957	0.157534749083677	0.196516564475056	0.105946630287817	0.219254031692248	0.16213154698922	0.151698372326571	0.179396219573383	0.210208598870399	0.275658127660178	0.252063543410211	0.238976579483972	0.241204758179885	0.216742625206635	0.0644672671921476	0.262705416953822	0.102024509749137	0.418840982508607	0.519213644139444
AC002310.2	0	0.127295140543954	0	0.0231705188077742	0.144356599006696	0	0.0543627940845928	0.130257422131869	0.0705167604282727	0.0639492565084793	0.0471138957425731	0.0651529277667916	0.207673421396186	0.0608989594713776	0.0398053840845547	0.025155822554425	0	0.103275685527842	0.176879502613388	0.0595275683425062	0	0.0794262759427963	0.0250100787778831	0.0267418265526536	0.100919965347154	0.0464114373655123	0	0.120417503580398	0.0976484114883273	0.0200235198194066	0.167096018326193	0.109138329180599	0.0206943886016313	0.134027096470392	0.0412918431963005	0.307043006152382	0.0909968332116092	0.0971839308194338	0.199484482545158	0.185467282555285
AC002310.6	0	0	0	0	0	0	0	0.0302388932036947	0	0.118765116420492	0	0	0	0	0	0	0	0	0.0615931165599998	0.0276383142292246	0	0	0.0348361155381117	0.0744964754219168	0	0	0	0.100636501902921	0.0680064100343543	0	0.0332493166458801	0	0.259423773450515	0.026669153546033	0.115029419390711	0.256605004705999	0.0633739746186879	0	0	0.0287038044009551
AC002347.1	0	0	0	0	0	0	0.0963658401610434	0	0	0	0	0	0	0	0	0	0	0	0.0783860642357853	0.140694856538419	0	0.0703972260897797	0	0	0	0.0822709213189025	0.182510373597847	0	0.173095797813874	0	0.0846290370080903	0	0	0.0678806366596812	0	0.108855542661787	0	0	0.078581071579711	0
AC002347.2	0	0.951859959311123	0	0.259889210955034	0	0	0	0.974010665297956	1.84553221346976	0	0.792670631879431	0.913474528192297	0.211758438191326	0.22768850734133	0	0.564314241630259	0	0.231675748353685	0	0	0	0	0	0	0	0.260284025927054	0.288707930165015	0	0	1.34754775486393	1.07097798880414	0	0	0.429513736057164	0.231572383773404	4.47708205579151	0	0	0.248610290787273	0
AC002350.1	0.0980482688289882	0.0667812033816474	0.0481475362906836	0.1215564963712	0.100975914257784	0.275347744769961	0.0855589488957185	0.0911136891498635	0.123314320296706	0.111829571465411	0.321317799902986	0.187991858591872	0.297133694726888	0.170392712277319	0.104412919412166	0.105577390939578	0.263426533114398	0.151704524496368	0.0231985015052297	0.187375070154694	0	0.02083418999703	0.157448570336914	0	0.0794165044594534	0.146089393107854	0.324085707165542	0.202153848461448	0.179298081597686	0.336149768171745	0.0751383627265485	0.0687069962915936	0.217132589375978	0.0200894006744461	0.0866496228123679	0.451024004442218	0.0477384918216265	0.178445220894655	0.186049714330957	0.237842738107914
AC002351.1	0	0	0	0	0	0	0	0	0	0.068829783380058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002368.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002375.1	0	0	0	0	0	0	0	0	0	0	0.0777663098401508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002378.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.1	0	0	0	0	0	0.252594016781275	0	0	0.10558247189807	0	0	0	0	0	0	0	0.161105286896326	0	0	0.0891287088844082	0	0	0	0.480476096749318	0	0.104235523263528	0	0	0	0.0899417119756953	0.107223206139056	0.0980455809688003	0	0.0860033359084016	0.0927374183261174	0.689588390866824	0.102184968442545	0	0	0.27769418262376
AC002398.2	0.746800980914127	0.554891089916598	0.800124512176087	0.538679455434071	0.419509025598248	1.47078607044006	0.15798157432462	0.88325058057701	0.819703918190467	0.433627635294365	0.684579182077691	0.0946691783762926	2.02999339157049	0.707904268279408	0.751899580882035	0.292417379753861	0	0.540225722297457	0.642528193205452	0.403645016447721	1.67479854633348	0.692452714810379	0.654127242217906	0.854847055466495	1.02647837481128	2.42774009637416	0.448809600529251	1.60972659180173	0.425658302805936	0.232758248567405	0.624331486655139	0.0634325198086026	2.3454267517867	0.890264834736667	0.239993197728801	12.0458553913691	1.18999040522636	0.847267178689427	0.772951994993157	1.25761804827639
AC002401.1	0	0	0	0.474797596937082	0.19720509750345	0.0768216845908865	0	0.444860640400509	0.2889981762851	0.174721757810916	0.193086435970631	0.200261723488311	0.232119826478954	0.166387755364818	0.326268062710153	0.103095871067066	1.76389634627516	0	0.181225900647692	0.162640849118129	0.88571076969559	0	0.102498570717905	0.219191552683717	0.206799672581027	0.095103778704116	0	0.197402369117269	0	0	0	0.178912235357597	0.254434854730313	0.078468855625828	0.338451945514976	3.27171381000149	0.652630065544372	0.199143994991105	0.090838375479965	0.168910848974851
AC002401.2	0.208409576069059	0.473162944890122	0.40936602948544	1.24021549041798	0.321948787087027	0.0836105776477555	0.606208366594471	0.387339125037094	1.88722530001991	1.33113599671759	0.630449665355269	0.944490174963477	0.842109137923646	1.17709663213901	0.621426845022362	0.785446682827232	0	0.0921315185313493	0.394482425595905	1.32760321024334	0	1.0628343994764	0	1.55065279828806	0.337612488725304	0.931574688143573	0.803682307924472	0.107423614821955	0.108889333275937	0.267942634978757	0.106475137259016	0.194723084063617	0.461532992301498	0	0.736723304655854	1.50651007995417	1.42060870081287	0.541856916603704	0.296597858543886	0.91918927116547
AC002401.3	1.12020147137119	0	0.200031128044022	0.909021581044995	0.419509025598248	0.16342067449334	0.473944722973859	0.567803944656649	1.43448185683332	0.836281868067704	0	0.639016954039975	0.658376235103941	0.884880335349259	0.347030575791709	0.219313034815396	0.938072147791791	0.270112861148729	0	0.432476803336844	1.57012363718764	0.346226357405189	0.109021207036318	1.86512084829053	0.219959651745274	0.708090861442463	0.448809600529251	1.36476819739712	0.106414575701484	0.087284343212777	0.104055247775857	0.0951487797129039	0.360834884890262	0.0834623282565625	0.359989796593201	0.535371350727516	1.58665387363515	0.529541986680892	0.579713996244868	0.718638884729367
AC002401.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261909868522044	0	0	0	0	0.0652795174848067	0	0	0	0.0879773985042705	0	0	0.169362113407264	0	0	0	0.0785322624723446	0.143620799566647	0	0	0.203767809392378	0	0.149684327701429	0	0	0
AC002428.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002428.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225119298685597	0	0
AC002429.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.1	0	0	0.084385135512339	0	0	0.172351622188566	0	0	0	0	0.0433194880317618	0.0898585681615817	0.0347178263957016	0	0	0.0462597005363251	0.791470268510811	0.0379832722612466	0	0.0729778690194483	0	0.365147644435003	0.0919833769817445	0.0983524896030483	0	0.0426736034837261	0.0473337066713495	0.221438899201538	0	0.0736435494029183	0.0438967488220296	0.120418398102621	0.0761109057294896	0	0.113898976870332	0.2258517682839	0.0836682291945668	0	0.0815193858573799	0.0378956267115198
AC002451.2	0	0.0169691464806299	0	0.0555976502168192	0	0	0	0	0	0	0.0376832577290472	0	0	0	0	0	0	0	0	0	0	0	0.060011673597973	0	0	0	0.0205875963545528	0	0	0	0	0	0	0	0	0	0	0	0	0.0659301729109511
AC002454.1	0.067178499032755	0	0.263909134450883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0570584088360454	0	0.0570987995720702	0	0	0	0.0667294879063362	0	0.207760814273347	0	0	0.0686421424608349	0	0	0	0	0	0	0	0.12747334250262	0.0592580789506974
